SubjectNumber	AuctionValues	IncludedOrExcluded	Phase1ExplicitLearning
11	0.338983051	Excluded	Explicit
14	0.490965949	Included	Implicit 
15	0.534810127	Included	Explicit
20	0.482509047	Excluded	Implicit
38	0.691113028	Excluded	Explicit
39	0.504721589	Included	Implicit
51	0.512302607	Included	Explicit
52	0.537548027	Excluded	Explicit
54	0.480563862	Included	Implicit
55	0.4378763	Excluded	Explicit
56	0.513017464	Included	Implicit
57	0.468230277	Included	Explicit
61	0.529609141	Included	Implicit
62	0.480392157	Excluded	Explicit
63	0.492260062	Excluded	Explicit
64	0.458235612	Included	Implicit
65	0.652866242	Excluded	Explicit
66	0.479813804	Included	Implicit
67	0.428478684	Excluded	Explicit
68	0.513418903	Included	Explicit
72	0.53474973	Excluded	Explicit
74	0.467263307	Included	Implicit
75	0.509920528	Included	Explicit
76	0.48071014	Included	Explicit
77	0.514451886	Included	Implicit
78	0.484223301	Included	Implicit
79	0.49689441	Included	Implicit
80	0.441269841	Excluded	Explicit
81	0.50209205	Included	Explicit
82	0.511517912	Included	Implicit
83	0.50137741	Included	Implicit